Name,Ticker Symbol,Price (in Rs),FF Market Cap (in Cr),% by Market Cap,Quantity
RELIANCE INDUSTRIES LTD.,RELIANCE,2071.5,669739.98,11.35,136
HDFC BANK LTD,HDFCBANK,1422.75,621795.01,10.54,185
INFOSYS LTD.,INFY*,1631.35,604481.18,10.25,157
ICICI BANK LTD.,ICICIBANK,681.55,472052.95,8,293
HOUSING DEVELOPMENT FINANCE CORP.LTD.,HDFC,2462.3,444629.74,7.54,76
TATA CONSULTANCY SERVICES LTD.,TCS,3217.9,333288.97,5.65,43
KOTAK MAHINDRA BANK LTD.,KOTAKBANK,1664.55,244219.46,4.14,62
HINDUSTAN UNILEVER LTD.,HINDUNILVR,2332.35,208242.41,3.53,37
LARSEN & TOUBRO LTD.,LT,1613.7,194928.54,3.3,51
AXIS BANK LTD.,AXISBANK,720.95,183433.33,3.11,107
ITC LTD.,ITC,207.25,181121.57,3.07,370
STATE BANK OF INDIA,SBIN,434.85,166877.29,2.83,162
BAJAJ FINANCE LIMITED,BAJFINANCE,6198.95,164632.65,2.79,11
ASIAN PAINTS LTD.,ASIANPAINT,2970.9,133934.99,2.27,19
BHARTI AIRTEL LTD.,BHARTIARTL,565.05,133440.61,2.26,99
TATA STEEL LTD.,TATASTEEL,1409.95,111878.78,1.9,33
HCL TECHNOLOGIES LTD.,HCLTECH,1035.25,112372.87,1.9,45
MARUTI SUZUKI INDIA LTD.,MARUTI,7075.3,94041.51,1.59,5
ULTRATECH CEMENT LTD.,ULTRACEMCO,7639.6,88208.62,1.5,4
SUN PHARMACEUTICAL INDUSTRIES LTD.,SUNPHARMA,774.45,85473.48,1.45,46
BAJAJ FINSERV LTD.,BAJAJFINSV,14124.75,85415.51,1.45,2
TECH MAHINDRA LTD.,TECHM,1211,75110.53,1.27,26
TITAN COMPANY LIMITED,TITAN,1770.25,73865.36,1.25,17
MAHINDRA & MAHINDRA LTD.,M&M,757.85,72545.82,1.23,40
NESTLE INDIA LTD.,NESTLEIND,17709.05,63174.94,1.07,1
INDUSIND BANK LTD.,INDUSINDBK,987.95,59637.14,1.01,25
POWER GRID CORPORATION OF INDIA LTD.,POWERGRID,170.9,58413.14,0.99,144
DR.REDDY'S LABORATORIES LTD.,DRREDDY,4701.8,57097.24,0.97,5
NTPC LTD.,NTPC,117.8,55971.1,0.95,201
BAJAJ AUTO LTD.,BAJAJ-AUTO,3840.65,50011.09,0.85,5